0	10
1	8
2	4
3	2
4	4
5	10
6	20
7	40
8	45
9	46
10	50
11	55
12	55
13	52
14	48
15	48
16	52
17	56
18	60
19	58
20	52
21	36
22	25
23	20
24	8
25	6
26	3
27	2
28	3
29	8
30	16
31	32
32	36
33	37
34	40
35	44
36	44
37	42
38	38
39	38
40	42
41	45
42	48
43	46
44	42
45	29
46	20
47	16
48	7
49	6
50	3
51	1
52	3
53	7
54	14
55	28
56	32
57	32
58	35
59	39
60	39
61	36
62	34
63	34
64	36
65	39
66	42
67	41
68	36
69	25
70	18
71	14
72	11
73	9
74	4
75	2
76	4
77	11
78	22
79	44
80	50
81	51
82	55
83	61
84	61
85	57
86	53
87	53
88	57
89	62
90	66
91	64
92	57
93	40
94	28
95	22
96	12
97	10
98	5
99	2
100	5
101	12
102	24
103	48
104	54
105	55
106	60
107	66
108	66
109	62
110	58
111	58
112	62
113	67
114	72
115	70
116	62
117	43
118	30
119	24
